Id,PostTypeId,ParentId,Body,AnswerCount
"16423025","1","","<p>I have a list of vertices and the length between them. I want to create a function which finds the distance between 2 vertices in the list by searching through the list.</p>

<p>the list will look something like:</p>

<pre><code>lengths = [[X, Y, length], [X, Z, length], [Y, Z, length], etc]
</code></pre>

<p>Say the vertices are X and Y could I index the list using X,Y to find the length between X and Y?</p>

<p>Currently I am doing it like this:</p>

<pre><code>def find_sides(X, Y, lengths):
    for a in lengths:
        if a[0] == X and a[1] == Y:
            length = a[2]
    return length
</code></pre>

<p>But as the list of lengths grows this could take time. </p>

<p>Thanks</p>
","1"
"31602160","1","","<p>So, I have a directory structure:</p>

<pre><code>main.py
\_ modules/
   \_ a.py
   \_ b.py
</code></pre>

<p>In main.py, modules are dynamically loaded at runtime, depending on which modules are specified. (This allows for a hypothetical <code>c.py</code> to be added, <code>main.py</code> to be rerun, and the program to detect the addition of <code>c.py</code> and run it.)</p>

<p>The problem is that <code>b.py</code> imports a module installed via pip (in a virtualenv). (I'm going to refer to it as a library to help avoid confusion.) When <code>b.py</code> is run directly (<code>python b.py</code>) the library imports just fine. When the shell is opened and the library is imported by hand, it works.</p>

<p>But, when <code>main.py</code> is run and <code>b.py</code> is dynamically imported (using <code>pkgutil.iter_modules</code> to detect the modules and then <code>importlib.import_module</code> to import the required ones), the library that <code>b.py</code> imports isn't found - an <code>ImportError: No module</code> is thrown.</p>

<p>To recap: a module imports an installed library, and this works when the module is run directly or when the library in question is imported manually in the python interpreter, but when the module is dynamically imported, the library isn't found. What gives?</p>
","2"
"15782500","1","","<p>I have a simple python script however it displays a much higher execution time when it's run for the first time in a while.  If I execute it immediately after it's faster by a few factors.</p>

<p>This script is run on a private test server with no applications running on it so I don't think a lack of system resources is what is causing it to run slower.</p>

<pre><code>#!/usr/bin/env python
import redis,time,sys
print ""hello""


$ time python test.py

real    0m0.149s
user    0m0.072s
sys     0m0.076s

$ time python test.py

real    0m0.051s
user    0m0.020s
sys     0m0.028s
</code></pre>

<p>Can anyone explain the variance in the execution time?</p>

<p>I've ran similar tests for php scripts that include external scripts and there's negligible variance in the execution time of that script.</p>

<p>This variance affects my application because such scripts are called several times and cause the response to be delivered between 70ms and 450ms.</p>
","1"
"31602174","1","","<p>I have a model:</p>

<pre><code>class accounts(models.Model):
    ksize = models.PositiveIntegerField(default='100')
</code></pre>

<p>and I have a form:</p>

<pre><code>class AccountsForm(forms.ModelForm):
    class Meta:
        model = accounts
        fields = ""__all__""
    ksize = forms.IntegerField(min_value=100)
</code></pre>

<p>the <code>min_value</code> option could not be specified in the <code>accounts</code> class but I didn't want to remove the <code>ksize</code> field completely because... I needed it.</p>

<p>It seems to be working, I have a default value in the form field when displayed as expected and it has a minimum allowed value.</p>

<p>But I am mixing <code>PositiveIntegerField</code> and <code>IntegerField</code> and I haven't seen any documentation about using this method either.</p>

<p>Can someone please tell me if this is safe/sensible?</p>

<p>Thanks.</p>
","1"
"31602200","1","","<p>I am learning Artificial Neural Network (ANN) recently and have got a code working and running in Python for the same based on mini-batch training. I followed the book of <a href=""http://neuralnetworksanddeeplearning.com/chap1.html"" rel=""noreferrer"">Michael Nilson's Neural Networks and Deep Learning</a> where there is step by step explanation of each and every algorithm for the beginners. 
There is also a fully working code for handwritten digit recognition which works fine for me too.</p>

<p>However, I am trying to tweak the code a bit by means of passing the whole mini-batch together to train by backpropagation in the matrix form. I have also developed a working code for that, but the code performs real slow when run. Is there any way I can implement a full matrix based approach to mini-batch learning of the network based on back propagation algorithm?</p>

<pre><code>import numpy as np
import pandas as pd

class Network:

    def __init__(self, sizes):
        self.layers = len(sizes)
        self.sizes = sizes

        self.biases = [np.random.randn(y, 1) for y in sizes[1:]]
        self.weights = [np.random.randn(y, x) for y, x in zip(sizes[1:], sizes[:-1])]

    def feed_forward(self, a):
        for w, b in zip(self.weights, self.biases):
            a = sigmoid(np.dot(w,a) + b)
        return a

    # Calculate the cost derivative (Gradient of C w.r.t. 'a' - Nabla C(a))
    def cost_derivative(self, output_activation, y):
        return (output_activation - y)


    def update_mini_batch(self, mini_batch, eta):

        from scipy.linalg import block_diag 

        n = len(mini_batch)

        xs = [x for x, y in mini_batch]
        features = block_diag(*xs)

        ys = [y for x, y in mini_batch]
        responses = block_diag(*ys)

        ws = [a for a in self.weights for i in xrange(n)]

        new_list = []
        k = 0
        while (k &lt; len(ws)):
            new_list.append(ws[k: k + n])
            k += n

        weights = [block_diag(*elems) for elems in new_list]

        bs = [b for b in self.biases for i in xrange(n)]

        new_list2 = []
        j = 0
        while (j &lt; len(bs)):
            new_list2.append(bs[j : j + n])
            j += n

        biases = [block_diag(*elems) for elems in new_list2]

        baises_dim_1 = [np.dot(np.ones((n*b.shape[0], b.shape[0])), b) for b in self.biases]
        biases_dim_2 = [np.dot(b, np.ones((b.shape[1], n*b.shape[1]))) for b in baises_dim_1]
        weights_dim_1 = [np.dot(np.ones((n*w.shape[0], w.shape[0])), w) for w in self.weights]
        weights_dim_2 = [np.dot(w, np.ones((w.shape[1], n*w.shape[1]))) for w in weights_dim_1]

        nabla_b =  [np.zeros(b.shape) for b in biases_dim_2]
        nabla_w = [np.zeros(w.shape) for w in weights_dim_2]

        delta_b = [np.zeros(b.shape) for b in self.biases]
        delta_w = [np.zeros(w.shape) for w in self.weights]

        zs = []
        activation = features
        activations = [features]

        for w, b in zip(weights, biases):

            z = np.dot(w, activation) + b
            zs.append(z)
            activation = sigmoid(z)
            activations.append(activation)

        delta = self.cost_derivative(activations[-1], responses) * sigmoid_prime(zs[-1])
        nabla_b[-1] = delta
        nabla_w[-1] = np.dot(delta, activations[-2].transpose())

        for l in xrange(2, self.layers):
            z = zs[-l]                                                                      # the weighted input for that layer
            activation_prime = sigmoid_prime(z)                                             # the derivative of activation for the layer
            delta = np.dot(weights[-l + 1].transpose(), delta) * activation_prime           # calculate the adjustment term (delta) for that layer
            nabla_b[-l] = delta                                                             # calculate the bias adjustments - by means of using eq-BP3.
            nabla_w[-l] = np.dot(delta, activations[-l-1].transpose())                  # calculate the weight adjustments - by means of using eq-BP4.

        delta_b = [self.split_cases(b, n) for b in nabla_b]
        delta_w = [self.split_cases(w, n) for w in nabla_w]

        self.weights = [w - (eta/n) * nw for w, nw in zip(self.weights, delta_w)]
        self.biases = [b - (eta/ n) * nb for b, nb in zip(self.biases, delta_b)]



    def split_cases(self, mat, mini_batch_size):
        i = 0
        j = 0
        dim1 = mat.shape[0]/mini_batch_size
        dim2 = mat.shape[1]/mini_batch_size
        sum_samples = np.zeros((dim1, dim2))
        while i &lt; len(mat):

            sum_samples = sum_samples + mat[i: i + dim1, j : j + dim2]
            i += dim1
            j += dim2

        return sum_samples

    """"""Stochastic Gradient Descent for training in epochs""""""
    def SGD(self, training_data, epochs, mini_batch_size, eta, test_data = None):

        n = len(training_data)

        if test_data:
            n_test = len(test_data)

        for j in xrange(epochs):
            np.random.shuffle(training_data)                                                                    # for each epochs the mini-batches are selected randomly
            mini_batches = [training_data[k: k+mini_batch_size] for k in xrange(0, n, mini_batch_size)]     # select equal sizes of mini-batches for the epochs (last mini_batch size might differ however)

            c = 1

            for mini_batch in mini_batches:
                print ""Updating mini-batch {0}"".format(c)
                self.update_mini_batch(mini_batch, eta)
                c += 1
            if test_data:
                print ""Epoch {0}: {1}/{2}"".format(j, self.evaluate(test_data), n_test)

            else:
                print ""Epoch {0} completed."".format(j)

    def evaluate(self, test_data):
        test_results = [(np.argmax(self.feed_forward(x)), y) for (x, y) in test_data]
        return (sum(int(x == y) for x, y in test_results))

    def export_results(self, test_data):
        results = [(np.argmax(self.feed_forward(x)), y) for (x, y) in test_data]
        k = pd.DataFrame(results)
        k.to_csv('net_results.csv')


# Global functions

## Activation function (sigmoid)
@np.vectorize
def sigmoid(z):
    return 1.0/(1.0 + np.exp(-z))

## Activation derivative (sigmoid_prime)
@np.vectorize
def sigmoid_prime(z):
    return sigmoid(z)*(1 - sigmoid(z))
</code></pre>
","1"
"7821005","1","","<p>I have a CSV file with: </p>

<ul>
<li>area ID</li>
<li>area name</li>
<li>URL of a KML file with the area boundaries: <a href=""http://link.to/area_ID.kml"" rel=""nofollow"">http://link.to/area_ID.kml</a></li>
</ul>

<p>How can I load in the KML to a column in the CSV in order to upload it to Fusion Tables?</p>

<p>I'm working in Python. The KML is also available as JSON if that helps. </p>

<p>I know that I need to add it as a geometry column in the Fusion Table: I just literally don't understand how to get it into the CSV file so that I can then upload it to Fusion Tables. </p>

<p>Thanks for your help. </p>

<p>UPDATE: I've tried to write the KML as a string to the column in the CSV (<code>&lt;Polygon&gt;....&lt;/Polygon&gt;</code>), but Fusion Tables is refusing to import it, with a 502 error - perhaps because the file is now very large. </p>
","1"
"31427431","1","","<p>So let's say I have the following example script:</p>

<pre><code>#!/usr/bin/python
import sys

def hello():
    return ""Hello, I am a script!""
def bye():
    return ""Hope to see you again!""
</code></pre>

<p>If I call this script from the command line <code>python example.py</code>how can I access either <code>hello()</code> and/or <code>bye()</code>.</p>

<p>I just know how to call a function like:</p>

<pre><code>if __name__ == '__main__':
    hello()
</code></pre>

<p>Answer to comments:</p>

<ul>
<li>So there is no way of choosing which function to use out of the command line?</li>
<li>I simply want a script containing like two differing table comparison functions and be able to choose out of one script which to use</li>
</ul>
","3"
"16940971","1","","<p>i'm trying define a function that return a list when i specify an object, and it returns a list of all the objects in the scene with *_control when i don't specify anything..
that's my function but it doesn't work....
i'm working with maya then.. </p>

<pre><code>from maya import cmds

def correct_value(selection):

       if not isinstance(selection, list):
            selection = [selection]
            objs = selection
            return objs

       if not selection : 
            objs = cmds.ls ('*_control')    
            return objs
</code></pre>

<p>when i don't specify anything it returns an error : </p>

<blockquote>
  <p>Error: line 1: TypeError: file  line 1: correct_value()
  takes exactly 1 argument (0 given)</p>
</blockquote>

<p>what's wrong ??</p>
","5"
"7821030","1","","<pre><code>i = range(0,40,1)
y = 0.1 * cos((i)/20 * pi)
</code></pre>

<p>The error I get is this:</p>

<pre><code>TypeError: unsupported operand type(s) for /: 'list' and 'int'`
</code></pre>

<p>I am not sure how to remove that error. I type-casted i to int, but its a list, thus can't be type-casted. I am following this example. <a href=""http://msenux.redwoods.edu/math/python/simple.php"" rel=""nofollow"">http://msenux.redwoods.edu/math/python/simple.php</a> </p>
","2"
"40004386","1","","<p>I am having an issue where by I am unable to connect to the AR Drone 2 camera when the drone is connected through ROS using the ardrone_autonomy ardrone.launch.</p>

<p>I think the issue is due to the fact that I am trying to access the drone camera through the IP address with OpenCV and Python while connected through ardrone_autonomy. Below is a code snippet of how I am accomplishing this.</p>

<pre><code>video_capture = cv2.VideoCapture()

video_capture.open('tcp://192.168.1.1:5555')

vidWidth = video_capture.get(cv2.CAP_PROP_FRAME_WIDTH)

vidHeight = video_capture.get(cv2.CAP_PROP_FRAME_HEIGHT)
</code></pre>

<p>As you can see that I am using the IP address for the camera. This works perfectly when the drone is not connected through ROS which is essentially like a webcam. </p>

<p>My end goal is for tracking and navigation through the use of images received from the camera using OpenCV which means I will have to issue movement commands(cmd_vel) which requires a connection through ardrone_autonomy based on the images received and processed by OpenCV.</p>

<p>Is there anyway I can accomplish this by using the IP camera from the drone while connected to ROS?</p>

<p>Thanks for any help!</p>
","1"
