stem,count,original words
i,3058,i
use,1357,"using,use,used,uses,useful"
python,916,"python,pythonic,pythoning,pythons"
file,634,"files,file"
code,561,"coded,code,coding,codes"
the,546,the
like,523,"liked,likely,like"
work,481,"worked,work,working,works"
tri,437,"try,tries,trying,tried"
get,436,"getting,gets,get"
want,413,"wants,wanting,wanted,want"
would,400,would
you,362,you
need,362,"need,needed,needs,needing"
list,352,"liste,list,listed,lists,listing"
if,339,"ifs,if"
run,330,"running,run,runs"
way,317,"ways,way"
one,315,"ones,one"
function,313,"function,functions,functionalities,functional,functionality,functioning"
data,291,data
thi,289,this
line,281,"line,lines"
valu,273,"values,value"
time,271,"timing,times,timings,time"
also,270,also
exampl,261,"examples,example"
make,257,"making,make,makes"
creat,257,"creates,create,creating,created"
follow,252,"following,follow,followed,follows"
py,247,py
test,237,"test,tested,tests,testing"
call,233,"call,called,calls,calling"
it,226,"it,its"
look,223,"looking,looked,look,looks"
could,213,could
set,207,"set,setting,settings,sets"
modul,204,"modules,module"
first,198,first
x,197,x
read,196,"read,reads,reading"
problem,196,"problem,problems"
c,195,c
string,193,"string,strings"
in,189,"ins,in"
object,189,"objective,objectives,object,objects"
instal,188,"installation,installations,installs,installing,installed,install,installer"
script,188,"scripts,scripting,script"
so,186,so
error,184,"errors,error"
class,180,"classes,class"
http,179,"http,https"
someth,177,something
method,176,"method,methods"
see,175,"seeing,see,sees"
know,173,"knowing,know,knows"
name,172,"named,namely,name,naming,names"
program,168,"program,programming,programs"
write,167,"write,writes,writing"
here,166,here
new,164,new
return,161,"returns,return,returned,returning"
updat,161,"updateable,updated,update,updating,updates"
help,159,"helped,helping,helpful,helps,help"
gener,155,"generating,generates,generator,generic,generally,general,generation,generated,generators,generalizations,generate"
for,153,for
user,151,"user,users"
find,149,"finding,find,finds"
number,146,"numbered,number,numbers"
packag,143,"packaging,packages,packaged,package"
version,143,"version,versions"
django,139,django
output,138,"output,outputted,outputting,outputs"
case,135,"case,cases"
array,134,"arrays,array"
instead,134,instead
path,133,"path,paths"
two,133,two
think,132,"thinking,think,thinks"
result,132,"resultant,resulting,results,result"
librari,131,"libraries,library"
document,131,"documents,documented,documentation,document,documenting"
window,131,"windows,window"
variabl,130,"variable,variables"
chang,129,"changing,changed,changes,change"
server,129,"servers,server"
question,128,"question,questions"
directori,127,"directory,directories,directorys"
differ,125,"different,differencies,differences,differ,differents,differently,differs,difference"
but,124,but
seem,123,"seem,seems,seemed"
process,123,"process,processes,processing,processed"
how,122,how
answer,121,"answer,answered,answering,answers"
a,121,a
go,121,"go,going"
check,120,"checking,checked,check,checks"
import,119,"imported,importable,importance,imports,important,importers,importing,import"
add,119,"add,adds"
thread,119,"threading,threaded,threads,thread"
solut,118,"solution,solutions"
thank,115,"thank,thanks"
request,115,"requested,requests,request,requesting"
take,114,"taking,take,takes"
dictionari,113,"dictionaries,dictionary"
howev,113,however
loop,112,"loops,looping,loop"
key,111,"keys,key"
