,0
0,In
1,order
2,to
3,ensure
4,db
5,consistency
6,","
7,I
8,would
9,like
10,to
11,batch
12,set
13,the
14,type
15,of
16,the
17,last
18,column
19,of
20,every
21,table
22,to
23,TINYINT
24,(1)
25,UNSIGNED
26,NOT
27,NULL
28,.
29,I
30,found
31,out
32,how
33,to
34,loop
35,through
36,tables
37,and
38,target
39,the
40,last
41,column
42,","
43,change
44,its
45,type
46,and
47,setting
48,the
49,NOT
50,NULL
51,flag
52,but
53,I
54,can
55,'t
56,find
57,how
58,to
59,set
60,the
61,UNSIGNED
62,flag
63,.
64,I
65,tried
66,both
67,:
68,but
69,I
70,get
71,a
72,TypeError: flag is read-only. I also tried setting the dataType property of the column to a reference to the dataType property of a column having the UNSIGNED flag (defined through GUI)
73,.
74,Finally
75,I
76,tried
77,:
78,but
79,it
80,returns
81,0
82,and
83,doesn
84,'t
85,change
86,anything
87,(it
88,returns
89,1
90,if
91,I
92,remove
93,UNSIGNED
94,so
95,I
96,think
97,it
98,doesn
99,'t
100,work
101,with
102,flags
103,).
104,Is
105,there
106,any
107,way
108,to
109,change
110,column
111,flags
112,(ie:
113,UNSIGNED
114,","
115,ZEROFILL
116,)
117,using
118,a
119,Python
120,script
121,in
122,MySQL
123,Workbench
124,?
