,0,1,2,3
0,,,,I'm
1,,,,downloading
2,,,,an
3,,,,entire
4,,,,directory
5,,,,from
6,,,,a
7,,,,web
8,,,,server.
9,,,,It
10,,,,works
11,,,,"OK,"
12,,,,but
13,,,,I
14,,,,can't
15,,,,figure
16,,,,how
17,,,,to
18,,,,get
19,,,,the
20,,,,file
21,,,,size
22,,,,before
23,,,,download
24,,,,to
25,,,,compare
26,,,,if
27,,,,it
28,,,,was
29,,,,updated
30,,,,on
31,,,,the
32,,,,server
33,,,,or
34,,,,not.
35,,,,Can
36,,,,this
37,,,,be
38,,,,done
39,,,,as
40,,,,if
41,,,,I
42,,,,was
43,,,,downloading
44,,,,the
45,,,,file
46,,,,from
47,,,,a
48,,,,FTP
49,,,,server?
50,,,,@Jon:
51,,,,thank
52,,,,for
53,,,,your
54,,,,quick
55,,,,answer.
56,,,,It
57,,,,"works,"
58,,,,but
59,,,,the
60,,,,filesize
61,,,,on
62,,,,the
63,,,,web
64,,,,server
65,,,,is
66,,,,slightly
67,,,,less
68,,,,than
69,,,,the
70,,,,filesize
71,,,,of
72,,,,the
73,,,,downloaded
74,,,,file.
75,,,,Examples:
76,,,,It
77,,,,has
78,,,,anything
79,,,,to
80,,,,do
81,,,,with
82,,,,the
83,,,,CR/LF
84,,,,conversion?
