,Tokens
0,Python
1,uses
2,the
3,reference
4,count
5,method
6,to
7,handle
8,object
9,life
10,time
11,.
12,So
13,an
14,object
15,that
16,has
17,no
18,more
19,use
20,will
21,be
22,immediately
23,destroyed
24,.
25,But
26,","
27,in
28,Java
29,","
30,the
31,GC
32,(garbage
33,collector
34,)
35,destroys
36,objects
37,which
38,are
39,no
40,longer
41,used
42,at
43,a
44,specific
45,time
46,.
47,Why
48,does
49,Java
50,choose
51,this
52,strategy
53,and
54,what
55,is
56,the
57,benefit
58,from
59,this
60,?
61,Is
62,this
63,better
64,than
65,the
66,Python
67,approach
68,?
69,There
70,are
71,drawbacks
72,of
73,using
74,reference
75,counting
76,.
77,One
78,of
79,the
80,most
81,mentioned
82,is
83,circular
84,"references: Suppose A references B, B references C and C references B. If A were to drop its reference to B, both B and C will still have a reference count of 1 and won't be deleted with traditional reference counting. CPython (reference counting is not part of python itself, but part of the C implementation thereof)"
85,catches
86,circular
87,references
88,with
89,a
90,separate
91,garbage
92,collection
93,routine
94,that
95,it
96,runs
97,periodically
98,...
99,Another
100,"drawback: Reference counting can make execution slower. Each time an object is referenced and dereferenced, the interpreter/VM must check to see if the count has gone down to 0 (and then deallocate if it did)"
101,.
102,Garbage
103,Collection
104,does
105,not
106,need
107,to
108,do
109,this
110,.
111,Also
112,","
113,Garbage
114,Collection
115,can
116,be
117,done
118,in
119,a
120,separate
121,thread
122,(though
123,it
124,can
125,be
126,a
127,bit
128,tricky
129,).
130,On
131,machines
132,with
133,lots
134,of
135,RAM
136,and
137,for
138,processes
139,that
140,use
141,memory
142,only
143,slowly
144,","
145,you
146,might
147,not
148,want
149,to
150,be
151,doing
152,GC
153,at
154,all
155,!
156,Reference
157,counting
158,would
159,be
160,a
161,bit
162,of
163,a
164,drawback
165,there
166,in
167,terms
168,of
169,performance
170,...
171,I
172,think
173,the
174,article
175,"""Java"
176,theory
177,and
178,practice
179,:
180,A
181,brief
182,history
183,of
184,garbage
185,collection
186,""""
187,from
188,IBM
189,should
190,help
191,explain
192,some
193,of
194,the
195,questions
196,you
197,have
198,.
199,The
200,latest
201,Sun
202,Java
203,VM
204,actually
205,have
206,multiple
207,GC
208,algorithms
209,which
210,you
211,can
212,tweak
213,.
214,The
215,Java
216,VM
217,specifications
218,intentionally
219,omitted
220,specifying
221,actual
222,GC
223,behaviour
224,to
225,allow
226,different
227,(and
228,multiple
229,)
230,GC
231,algorithms
232,for
233,different
234,VMs
235,.
236,For
237,example
238,","
239,for
240,all
241,the
242,people
243,who
244,dislike
245,the
246,"""stop-the-world"""
247,approach
248,of
249,the
250,default
251,Sun
252,Java
253,VM
254,GC
255,behaviour
256,","
257,there
258,are
259,VM
260,such
261,as
262,IBM
263,'s
264,WebSphere
265,Real
266,Time
267,which
268,allows
269,real
270,-time
271,application
272,to
273,run
274,on
275,Java
276,.
277,Since
278,the
279,Java
280,VM
281,spec
282,is
283,publicly
284,available
285,","
286,there
287,is
288,(theoretically)
289,nothing
290,stopping
291,anyone
292,from
293,implementing
294,a
295,Java
296,VM
297,that
298,uses
299,CPython
300,'s
301,GC
302,algorithm
303,.
304,Reference
305,counting
306,is
307,particularly
308,difficult
309,to
310,do
311,efficiently
312,in
313,a
314,multi
315,-threaded
316,environment
317,.
318,I
319,don
320,'t
321,know
322,how
323,you
324,'d
325,even
326,start
327,to
328,do
329,it
330,without
331,getting
332,into
333,hardware
334,assisted
335,transactions
336,or
337,similar
338,(currently)
339,unusual
340,atomic
341,instructions
342,.
343,Reference
344,counting
345,is
346,easy
347,to
348,implement
349,.
350,JVMs
351,have
352,had
353,a
354,lot
355,of
356,money
357,sunk
358,into
359,competing
360,implementations
361,","
362,so
363,it
364,shouldn
365,'t
366,be
367,surprising
368,that
369,they
370,implement
371,very
372,good
373,solutions
374,to
375,very
376,difficult
377,problems
378,.
379,However
380,","
381,it
382,'s
383,becoming
384,increasingly
385,easy
386,to
387,target
388,your
389,favourite
390,language
391,at
392,the
393,JVM
394,.
395,One
396,big
397,disadvantage
398,of
399,Java
400,'s
401,tracing
402,GC
403,is
404,that
405,from
406,time
407,to
408,time
409,it
410,will
411,"""stop"
412,the
413,world
414,""""
415,and
416,freeze
417,the
418,application
419,for
420,a
421,relatively
422,long
423,time
424,to
425,do
426,a
427,full
428,GC
429,.
430,If
431,the
432,heap
